marker_id,paper_id,effect_name,subtype
1,"Fan S. et al., 2009",Increased virulence in mice,H5N1
1,"Suttie A. et al., 2019",Increased virulence in mice,H5N1
2,"Fan S. et al., 2009",Increased virulence in mice,H5N1
2,"Suttie A. et al., 2019",Increased virulence in mice,H5N1
3,"Nao N. et al., 2015",Increased virulence in mice,H5N1
3,"Suttie A. et al., 2019",Increased virulence in mice,H5N1
3,"Nao N. et al., 2015",Increased virulence in chickens,H5N1
3,"Suttie A. et al., 2019",Increased virulence in chickens,H5N1
3,"Nao N. et al., 2015",Increased virulence in ducks,H5N1
3,"Suttie A. et al., 2019",Increased virulence in ducks,H5N1
4,"Abed Y. et al., 2005",Increased resistance to amantadine,H5N1
4,"Lan Y. et al., 2010",Increased resistance to amantadine,H5N1
4,"Bean W. et al., 1989",Increased resistance to amantadine,H5N1
4,"Suttie A. et al., 2019",Increased resistance to amantadine,H5N1
8,"Cheung C. et al., 2006",Increased resistance to amantadine,H5N1
8,"Cheung C. et al., 2006",Increased resistance to amantadine,H5N2
8,"Cheung C. et al., 2006",Increased resistance to amantadine,H7N2
8,"Bean W. et al., 1989",Increased resistance to amantadine,H5N1
8,"Bean W. et al., 1989",Increased resistance to amantadine,H5N2
8,"Bean W. et al., 1989",Increased resistance to amantadine,H7N2
8,"Ilyushina N. et al., 2005",Increased resistance to amantadine,H5N1
8,"Ilyushina N. et al., 2005",Increased resistance to amantadine,H5N2
8,"Ilyushina N. et al., 2005",Increased resistance to amantadine,H7N2
8,"Suttie A. et al., 2019",Increased resistance to amantadine,H5N1
4,"Abed Y. et al., 2005",Increased resistance to rimantadine,H5N1
4,"Lan Y. et al., 2010",Increased resistance to rimantadine,H5N1
4,"Bean W. et al., 1989",Increased resistance to rimantadine,H5N1
4,"Suttie A. et al., 2019",Increased resistance to rimantadine,H5N1
5,"Bean W. et al., 1989",Increased resistance to rimantadine,H5N1
5,"Bean W. et al., 1989",Increased resistance to rimantadine,H5N2
5,"Abed Y. et al., 2005",Increased resistance to rimantadine,H5N1
5,"Abed Y. et al., 2005",Increased resistance to rimantadine,H5N2
5,"Lan Y. et al., 2010",Increased resistance to rimantadine,H5N1
5,"Lan Y. et al., 2010",Increased resistance to rimantadine,H5N2
5,"Cheung C. et al., 2006",Increased resistance to rimantadine,H5N1
5,"Cheung C. et al., 2006",Increased resistance to rimantadine,H5N2
5,"Ilyushina N. et al., 2005",Increased resistance to rimantadine,H5N1
5,"Ilyushina N. et al., 2005",Increased resistance to rimantadine,H5N2
5,"Suttie A. et al., 2019",Increased resistance to rimantadine,H5N1
5,"Suttie A. et al., 2019",Increased resistance to rimantadine,H5N2
6,"Lan Y. et al., 2010",Increased resistance to rimantadine,H5N1
6,"Lan Y. et al., 2010",Increased resistance to rimantadine,H5N2
6,"Bean W. et al., 1989",Increased resistance to rimantadine,H5N1
6,"Bean W. et al., 1989",Increased resistance to rimantadine,H5N2
6,"Ilyushina N. et al., 2005",Increased resistance to rimantadine,H5N1
6,"Ilyushina N. et al., 2005",Increased resistance to rimantadine,H5N2
6,"Cheung C. et al., 2006",Increased resistance to rimantadine,H5N1
6,"Cheung C. et al., 2006",Increased resistance to rimantadine,H5N2
6,"Abed Y. et al., 2005",Increased resistance to rimantadine,H5N1
6,"Abed Y. et al., 2005",Increased resistance to rimantadine,H5N2
6,"Suttie A. et al., 2019",Increased resistance to rimantadine,H5N1
6,"Suttie A. et al., 2019",Increased resistance to rimantadine,H5N2
7,"Lan Y. et al., 2010",Increased resistance to rimantadine,H5N1
7,"Lan Y. et al., 2010",Increased resistance to rimantadine,H5N2
7,"Bean W. et al., 1989",Increased resistance to rimantadine,H5N1
7,"Bean W. et al., 1989",Increased resistance to rimantadine,H5N2
7,"Ilyushina N. et al., 2005",Increased resistance to rimantadine,H5N1
7,"Ilyushina N. et al., 2005",Increased resistance to rimantadine,H5N2
7,"Cheung C. et al., 2006",Increased resistance to rimantadine,H5N1
7,"Cheung C. et al., 2006",Increased resistance to rimantadine,H5N2
7,"Abed Y. et al., 2005",Increased resistance to rimantadine,H5N1
7,"Abed Y. et al., 2005",Increased resistance to rimantadine,H5N2
7,"Suttie A. et al., 2019",Increased resistance to rimantadine,H5N1
7,"Suttie A. et al., 2019",Increased resistance to rimantadine,H5N2
8,"Cheung C. et al., 2006",Increased resistance to rimantadine,H5N1
8,"Cheung C. et al., 2006",Increased resistance to rimantadine,H5N2
8,"Cheung C. et al., 2006",Increased resistance to rimantadine,H7N2
8,"Bean W. et al., 1989",Increased resistance to rimantadine,H5N1
8,"Bean W. et al., 1989",Increased resistance to rimantadine,H5N2
8,"Bean W. et al., 1989",Increased resistance to rimantadine,H7N2
8,"Ilyushina N. et al., 2005",Increased resistance to rimantadine,H5N1
8,"Ilyushina N. et al., 2005",Increased resistance to rimantadine,H5N2
8,"Ilyushina N. et al., 2005",Increased resistance to rimantadine,H7N2
5,"Bean W. et al., 1989",Increased resistance to amantadine,H5N1
5,"Bean W. et al., 1989",Increased resistance to amantadine,H5N2
5,"Abed Y. et al., 2005",Increased resistance to amantadine,H5N1
5,"Abed Y. et al., 2005",Increased resistance to amantadine,H5N2
5,"Lan Y. et al., 2010",Increased resistance to amantadine,H5N1
5,"Lan Y. et al., 2010",Increased resistance to amantadine,H5N2
5,"Cheung C. et al., 2006",Increased resistance to amantadine,H5N1
5,"Cheung C. et al., 2006",Increased resistance to amantadine,H5N2
5,"Ilyushina N. et al., 2005",Increased resistance to amantadine,H5N1
5,"Ilyushina N. et al., 2005",Increased resistance to amantadine,H5N2
5,"Suttie A. et al., 2019",Increased resistance to amantadine,H5N1
5,"Suttie A. et al., 2019",Increased resistance to amantadine,H5N2
6,"Lan Y. et al., 2010",Increased resistance to amantadine,H5N1
6,"Lan Y. et al., 2010",Increased resistance to amantadine,H5N2
6,"Bean W. et al., 1989",Increased resistance to amantadine,H5N1
